date,high,low
Sun 7/30,34,29
Mon 7/31,35,29
Tue 8/1,32,30
Wed 8/2,33,28
Thu 8/3,31,27
Fri 8/4,30,26
Sat 8/5,29,26
Sun 8/6,34,27
Mon 8/7,33,28
Tue 8/8,33,27
Wed 8/9,33,28
Thu 8/10,31,26
Fri 8/11,32,28
Sat 8/12,32,29
Sun 8/13,33,29
Mon 8/14,32,29
Tue 8/15,33,29
Wed 8/16,33,28
Thu 8/17,31,28
Fri 8/18,33,28
Sat 8/19,34,28
Sun 8/20,34,28
Mon 8/21,33,28
Tue 8/22,34,29
Wed 8/23,37,28
Thu 8/24,29,26
Fri 8/25,32,27
Sat 8/26,33,28
Sun 8/27,34,26
Mon 8/28,27,24
Tue 8/29,26,24
Wed 8/30,32,24
Thu 8/31,32,27
Fri 9/1,33,26
Sat 9/2,32,26
