date,high,low
Sun 10/1,30,28
Mon 10/2,33,29
Tue 10/3,33,28
Wed 10/4,31,28
Thu 10/5,30,28
Fri 10/6,32,28
Yesterday,28,23
Today 10/8,33,27
Mon 10/9,33,28
Tue 10/10,32,26
Wed 10/11,32,25
Thu 10/12,32,25
Fri 10/13,33,23
Sat 10/14,29,23
Sun 10/15,29,23
Mon 10/16,28,23
Tue 10/17,29,23
Wed 10/18,29,23
Thu 10/19,29,23
Fri 10/20,29,23
Sat 10/21,29,22
Sun 10/22,28,23
Mon 10/23,30,24
Tue 10/24,29,24
Wed 10/25,29,20
Thu 10/26,26,20
Fri 10/27,26,20
Sat 10/28,25,20
Sun 10/29,25,20
Mon 10/30,26,21
Tue 10/31,28,22
Wed 11/1,28,22
Thu 11/2,27,20
Fri 11/3,26,19
Sat 11/4,26,20
