date,high,low
Sun 8/27,27,24
Mon 8/28,26,24
Tue 8/29,32,24
Wed 8/30,32,27
Thu 8/31,33,26
Fri 9/1,32,26
Sat 9/2,31,27
Sun 9/3,30,26
Mon 9/4,28,26
Tue 9/5,31,26
Wed 9/6,32,27
Thu 9/7,31,28
Fri 9/8,31,27
Sat 9/9,32,26
Sun 9/10,32,27
Mon 9/11,32,28
Tue 9/12,33,28
Wed 9/13,34,28
Thu 9/14,32,28
Fri 9/15,33,28
Sat 9/16,33,28
Sun 9/17,33,28
Mon 9/18,33,28
Tue 9/19,32,28
Wed 9/20,32,28
Thu 9/21,32,28
Fri 9/22,32,26
Sat 9/23,32,27
Sun 9/24,31,27
Mon 9/25,32,28
Tue 9/26,33,28
Wed 9/27,33,28
Thu 9/28,34,28
Fri 9/29,33,29
Sat 9/30,31,26
