date,high,low
Sun 7/30,35,29
Mon 7/31,32,30
Tue 8/1,33,28
Wed 8/2,31,27
Thu 8/3,30,26
Fri 8/4,29,26
Sat 8/5,34,27
Sun 8/6,33,28
Mon 8/7,33,27
Tue 8/8,33,28
Wed 8/9,31,26
Thu 8/10,32,28
Fri 8/11,32,29
Sat 8/12,33,29
Sun 8/13,32,29
Mon 8/14,33,29
Tue 8/15,33,28
Wed 8/16,31,28
Thu 8/17,33,28
Fri 8/18,34,28
Sat 8/19,34,28
Sun 8/20,33,28
Mon 8/21,34,29
Tue 8/22,37,28
Wed 8/23,29,26
Thu 8/24,32,27
Fri 8/25,33,28
Sat 8/26,34,26
Sun 8/27,27,24
Mon 8/28,26,24
Tue 8/29,32,24
Wed 8/30,32,27
Thu 8/31,33,26
Fri 9/1,32,26
Sat 9/2,31,27
